k,c_v,topic_id,top_keywords
2,0.3255882254073465,0,"data, target, text, information, question, obtain, first, result, corresponding, knowledge, user, processing, training, field, set"
2,0.3255882254073465,1,"data, user, first, one, system, information, video, code, content, input, least, using, task, llm, may"
3,0.34307281044359667,0,"data, information, target, text, question, knowledge, obtain, first, user, result, set, answer, corresponding, training, field"
3,0.34307281044359667,1,"data, one, user, first, system, information, code, input, content, least, using, may, llm, response, query"
3,0.34307281044359667,2,"image, target, text, information, task, data, video, feature, multi, first, processing, corresponding, modal, obtain, equipment"
4,0.3326947982933752,0,"data, question, knowledge, text, answer, training, set, target, obtain, first, information, graph, sample, user, corresponding"
4,0.3326947982933752,1,"one, data, user, first, system, may, least, using, llm, input, query, includes, plurality, generate, content"
4,0.3326947982933752,2,"task, agent, target, user, data, system, interaction, intelligent, operation, first, service, information, control, corresponding, time"
4,0.3326947982933752,3,"information, target, text, data, image, obtain, first, corresponding, processing, result, equipment, feature, user, generation, medium"
5,0.3635519991881665,0,"question, knowledge, data, answer, text, target, user, information, graph, field, obtain, retrieval, improved, problem, corresponding"
5,0.3635519991881665,1,"one, data, user, first, system, may, least, llm, input, using, includes, content, generate, plurality, query"
5,0.3635519991881665,2,"image, video, multi, modal, feature, data, text, target, agent, information, system, fault, first, time, task"
5,0.3635519991881665,3,"information, target, data, text, user, processing, corresponding, obtain, result, task, equipment, content, medium, first, field"
5,0.3635519991881665,4,"data, first, text, set, training, target, sample, obtain, second, result, word, corresponding, candidate, obtaining, evaluation"
6,0.35547944966916717,0,"question, answer, data, user, information, medical, text, knowledge, target, training, field, improved, questions, answering, corresponding"
6,0.35547944966916717,1,"one, data, user, first, system, may, least, llm, using, input, generate, includes, content, query, associated"
6,0.35547944966916717,2,"agent, task, service, user, data, target, interaction, intelligent, operation, system, network, execution, first, processing, video"
6,0.35547944966916717,3,"information, text, target, image, data, obtain, feature, corresponding, user, content, processing, description, equipment, modal, video"
6,0.35547944966916717,4,"first, data, text, set, training, second, target, sample, obtain, result, word, candidate, corresponding, obtaining, plurality"
6,0.35547944966916717,5,"data, knowledge, target, information, graph, query, obtain, result, field, corresponding, processing, vector, improved, equipment, entity"
7,0.37106326948163143,0,"question, answer, data, text, user, knowledge, retrieval, obtain, information, field, problem, target, training, improved, questions"
7,0.37106326948163143,1,"one, data, user, first, system, may, llm, least, using, input, includes, generate, plurality, content, associated"
7,0.37106326948163143,2,"image, feature, multi, modal, data, text, video, visual, first, network, vector, features, semantic, obtain, module"
7,0.37106326948163143,3,"information, text, data, target, user, content, obtain, corresponding, processing, video, improved, equipment, result, medium, description"
7,0.37106326948163143,4,"first, data, set, text, training, second, sample, target, query, word, obtain, result, candidate, corresponding, statement"
7,0.37106326948163143,5,"data, knowledge, graph, information, task, target, code, entity, result, corresponding, obtain, improved, field, equipment, analysis"
7,0.37106326948163143,6,"target, information, first, processing, text, corresponding, field, task, user, medical, technical, result, data, obtain, equipment"
8,0.365048779326459,0,"data, multi, text, medical, feature, obtain, module, information, image, improved, modal, field, vector, result, performing"
8,0.365048779326459,1,"detection, data, information, order, work, security, vulnerability, learning, api, detected, may, using, command, code, error"
8,0.365048779326459,2,"one, data, may, system, first, least, using, network, llm, systems, plurality, computing, generate, methods, includes"
8,0.365048779326459,3,"text, information, target, image, data, obtain, video, description, voice, corresponding, processing, feature, first, recognition, content"
8,0.365048779326459,4,"data, first, set, training, second, sample, text, obtain, target, word, result, candidate, plurality, prompt, corresponding"
8,0.365048779326459,5,"knowledge, data, target, query, information, graph, corresponding, obtain, result, vector, code, retrieval, entity, database, field"
8,0.365048779326459,6,"question, target, information, answer, task, user, dialogue, corresponding, processing, first, field, equipment, result, agent, technical"
8,0.365048779326459,7,"user, content, system, information, interface, response, data, recommendation, input, interaction, first, prompt, message, service, one"
9,0.364501822844518,0,"question, answer, data, user, knowledge, text, retrieval, training, obtain, field, dialogue, questions, improved, answering, information"
9,0.364501822844518,1,"one, data, user, first, system, may, llm, least, using, input, includes, plurality, generate, response, associated"
9,0.364501822844518,2,"image, feature, modal, multi, text, data, first, visual, features, semantic, obtain, vector, training, module, description"
9,0.364501822844518,3,"information, data, target, text, processing, obtain, corresponding, result, analysis, recognition, test, code, medium, improved, user"
9,0.364501822844518,4,"set, data, training, first, second, word, result, obtain, candidate, sample, value, reasoning, target, text, obtaining"
9,0.364501822844518,5,"knowledge, data, graph, task, information, target, entity, code, obtain, corresponding, result, equipment, field, improved, operation"
9,0.364501822844518,6,"target, information, processing, image, corresponding, task, result, technical, field, agent, sub, problem, data, obtain, determining"
9,0.364501822844518,7,"user, video, information, content, target, recommendation, interaction, scene, time, control, current, corresponding, data, audio, operation"
9,0.364501822844518,8,"text, target, first, information, query, data, obtain, statement, corresponding, second, question, result, vector, processing, field"
10,0.34566523662644955,0,"data, module, multi, information, improved, text, analysis, evaluation, field, obtain, result, power, system, prediction, time"
10,0.34566523662644955,1,"one, data, query, learning, using, may, information, image, plurality, machine, search, user, generate, broadcast, representation"
10,0.34566523662644955,2,"data, first, one, system, llm, user, input, least, prompt, response, may, second, computing, includes, output"
10,0.34566523662644955,3,"text, information, data, image, target, feature, obtain, processing, modal, voice, multi, description, recognition, corresponding, performing"
10,0.34566523662644955,4,"data, set, training, first, second, sample, obtain, candidate, value, fine, word, target, reasoning, text, result"
10,0.34566523662644955,5,"knowledge, data, graph, information, entity, target, obtain, retrieval, base, field, query, vector, database, corresponding, fault"
